eval_index,span_m,root_chord_m,tip_chord_m,sweep_deg,twist_deg,airfoil_id,feasible,penalty,cost,obj_cl,obj_cd,CL,CD,LD,wing_area_m2,aspect_ratio
0,1.7739560485559633,0.3036074539132183,0.2646494799778456,20.921040871780917,-4.058226521123505,NACA2412,True,0.0,-14.762393239839183,-0.30084548927870564,0.016300976228622508,0.30084548927870564,0.016300976228622508,14.762393239839183,0.5040314125049595,6.243499877455203
1,1.761139701990353,0.42512250684693376,0.08202840816888647,13.511578136867014,-1.2920197576741876,NACA4412,True,0.0,-21.498005571940087,-0.5898373030081024,0.029658888800370625,0.5898373030081024,0.029658888800370625,21.498005571940087,0.44658180566754824,6.945229318714393
2,1.9267649888486018,0.3753527920282326,0.2556904033177075,13.302425964819934,-2.727612782152231,NACA0012,True,0.0,-9.82467554078602,-0.20461089891989692,0.013707981237373816,0.20461089891989692,0.013707981237373816,9.82467554078602,0.6079359676218532,6.106602537065129
3,1.0638172561041754,0.4396709101974037,0.20791609978051623,22.742632202561214,-1.4547403187013161,NACA2412,True,0.0,-13.246446791337945,-0.32114359669754305,0.02346551755527206,0.32114359669754305,0.02346551755527206,13.246446791337945,0.34445711802170903,3.2854805291429403
4,1.9706980243949033,0.4625923924627692,0.24459587426844048,5.839161235559027,-0.3327899627296578,NACA2412,True,0.0,-18.249596242946946,-0.44817782387239724,0.024926671618592328,0.44817782387239724,0.024926671618592328,18.249596242946946,0.6968272600612254,5.573333487287431
5,1.154289492067548,0.3890671336348591,0.2361905389769543,29.0252919730263,-1.7417464186184803,NACA0012,True,0.0,-8.942322909672844,-0.19268114081305454,0.015067611582025853,0.19268114081305454,0.015067611582025853,8.942322909672844,0.36086418066521364,3.6922041667905448
6,1.3704597060348689,0.3143445339465327,0.09736783977107143,3.8976451600641493,-0.24295073774066278,NACA0012,True,0.0,-14.826533043292672,-0.31372081896645404,0.01666189412704592,0.31372081896645404,0.01666189412704592,14.826533043292672,0.2821176093279729,6.657364672623976
7,1.6698139946825103,0.30300317160531576,0.2581695490144594,21.007953060067475,-1.8763335861795891,NACA0012,True,0.0,-11.268432752565937,-0.228946381416444,0.014251218303865755,0.228946381416444,0.014251218303865755,11.268432752565937,0.46852703116247957,5.951158826246294
8,1.832259801395201,0.4316675251238806,0.14686959475754363,8.649843117907324,1.8249550397497547,NACA2412,True,0.0,-20.359053276689824,-0.5481207642071699,0.02892739211689895,0.5481207642071699,0.02892739211689895,20.359053276689824,0.530015154186845,6.33411319146034
9,1.1999082024751084,0.2467310943755346,0.15257679441285193,19.945525697760964,2.0516537862633513,NACA0012,True,0.0,-17.519140859149037,-0.37870997334304984,0.019910527334717452,0.37870997334304984,0.019910527334717452,17.519140859149037,0.2395664055351017,6.009939879304516
10,1.780729031021968,0.310620521438419,0.19218529898822345,4.193909943829723,-3.8546992646402654,NACA2412,True,0.0,-16.036977020345265,-0.33457581026322664,0.016924228463795963,0.33457581026322664,0.016924228463795963,16.036977020345265,0.4476804607002703,7.083167929563655
11,1.4710962061431325,0.34783263726841607,0.24124971435400638,19.041549600017724,0.535794006579958,NACA4412,True,0.0,-17.556712412204952,-0.5929910541811203,0.03767934620002517,0.5929910541811203,0.03767934620002517,17.556712412204952,0.43329840628881017,4.994534981710146
12,1.5592071607454137,0.25638253432191427,0.057704458641984854,13.10152167697087,-2.854153271804708,NACA0012,True,0.0,-12.653996667448917,-0.22327249483510178,0.012109911922771924,0.22327249483510178,0.012109911922771924,12.653996667448917,0.24486334426315295,9.92850513185452
13,1.8534030732681661,0.23187882005286925,0.06457568542226651,8.441516760659896,-2.064062422333164,NACA2412,True,0.0,-25.283288121338245,-0.4543281072878917,0.016053767462644013,0.4543281072878917,0.016053767462644013,25.283288121338245,0.2747248457659055,12.503794268855291
14,1.661916514726895,0.3449612533194474,0.24597455227660336,19.929406209821625,-0.9361313855992943,NACA2412,True,0.0,-17.95494771659374,-0.4093348534483043,0.02224386038337864,0.4093348534483043,0.02224386038337864,17.95494771659374,0.4910429872317593,5.624693914258905
15,1.166972919907704,0.15794922559685115,0.07251196519391044,21.67078051789351,-0.3812276974861266,NACA4412,True,0.0,-26.76829262041073,-0.6545404490895101,0.02581284990770542,0.6545404490895101,0.02581284990770542,26.76829262041073,0.13447098437125077,10.127283608173421
16,1.1612717790336018,0.3253656712861772,0.08807802567829211,20.88961125233208,-0.5384372442596934,NACA0012,True,0.0,-13.1604350649661,-0.2747267939302705,0.01608716736070672,0.2747267939302705,0.01608716736070672,13.1604350649661,0.24006024875207932,5.617557058239055
17,1.3015120891478764,0.37059890759161096,0.14045315263834762,2.62949757948303,-3.819940978794847,NACA2412,True,0.0,-13.458832566174166,-0.30657532422700834,0.018516472825446505,0.30657532422700834,0.018516472825446505,13.458832566174166,0.3325702172866099,5.093461862035087
18,1.9618976645495145,0.4680032417476624,0.2249267834526874,7.9760988437855875,4.6917637734772395,NACA0012,True,0.0,-18.922010078641716,-0.4882540093956247,0.02714133704088717,0.4882540093956247,0.02714133704088717,18.922010078641716,0.6797288990684013,5.662614097238066
19,1.7168901891589956,0.30727652575032605,0.11806039046128976,2.891728864604979,4.026023965438416,NACA4412,True,0.0,-21.232922235062645,-0.8494036553390273,0.04422781696604732,0.8494036553390273,0.04422781696604732,21.232922235062645,0.36512838926543245,8.073083354489736
20,1.455776289833611,0.2208271776783306,0.12648915603766314,17.376587068256878,-3.2322721706076827,NACA2412,True,0.0,-18.768546103588744,-0.36187012054735845,0.016296521062210693,0.36187012054735845,0.016296521062210693,18.768546103588744,0.2528074418478408,8.382999292074892
21,1.75851952983521,0.4018120345828279,0.15802325994377592,18.819265221073294,0.840979689127356,NACA4412,True,0.0,-19.94360524122339,-0.645283295123829,0.0357547186320517,0.645283295123829,0.0357547186320517,19.94360524122339,0.4922406494580399,6.282274615508879
22,1.6498466015548199,0.17955551239896117,0.15395185054265242,1.2484252158567744,-0.06009180755481047,NACA0012,True,0.0,-18.7719021977603,-0.35164380868796985,0.015047823618356689,0.35164380868796985,0.015047823618356689,18.7719021977603,0.27511799467136555,9.89391410733954
